iter	RMSE
0	1.751960292
1	1.603839219
2	1.498660664
3	1.421706762
4	1.368140769
5	1.332729768
6	1.30011884
7	1.282404273
8	1.263499936
9	1.257540376
10	1.243632615
11	1.232147509
12	1.220449065
13	1.212916028
14	1.211208516
15	1.209521369
16	1.20011264
17	1.198065391
18	1.196771299
19	1.192105981
20	1.186912229
21	1.179201275
22	1.177284545
23	1.17348921
24	1.173135932
25	1.170807188
26	1.160544986
27	1.153345025
28	1.152805797
29	1.14873692
30	1.148513471
31	1.148378081
32	1.139225298
33	1.13411194
34	1.133765046
35	1.128611168
36	1.116283751
37	1.109730197
38	1.104371606
39	1.100882212
40	1.096744469
41	1.093777126
42	1.087977481
43	1.084548622
44	1.078957984
45	1.075203229
46	1.071225969
47	1.068172625
48	1.065367841
49	1.062911072
50	1.060602277
51	1.056657507
52	1.054371093
53	1.04878754
54	1.040880357
55	1.038605974
56	1.037296711
57	1.033779653
58	1.029817498
59	1.025982364
60	1.022799117
61	1.017643363
62	1.014122676
63	1.004486231
64	1.004223672
65	1.001141972
66	0.9984791215
67	0.9951109837
68	0.9949312516
69	0.9917066253
70	0.9845446848
71	0.9793073457
72	0.9761568005
73	0.9725703254
74	0.9680990145
75	0.965457607
76	0.9626983303
77	0.9581358596
78	0.955997156
79	0.9558072062
80	0.9544906377
81	0.9494130148
82	0.9455738428
83	0.943118102
84	0.9404038842
85	0.9401592585
86	0.9379361597
87	0.9364161611
88	0.9347062431
89	0.9296025848
90	0.9279000757
91	0.9273689593
92	0.9266081264
93	0.9249937959
94	0.9248933813
95	0.9212970356
96	0.9171601758
97	0.9168658997
98	0.9141798322
99	0.9123320297
