iter	Passed	Remaining
0	7	731
1	10	503
2	12	389
3	15	367
4	16	319
5	18	283
6	21	292
7	23	272
8	26	270
9	27	245
10	30	245
11	32	241
12	35	236
13	38	235
14	39	221
15	39	209
16	42	206
17	43	197
18	44	188
19	46	184
20	48	183
21	51	181
22	51	173
23	54	174
24	55	167
25	58	165
26	60	164
27	63	163
28	64	157
29	66	155
30	67	150
31	68	144
32	70	143
33	72	141
34	73	136
35	77	137
36	79	136
37	82	134
38	84	132
39	87	131
40	90	129
41	94	129
42	96	128
43	99	126
44	101	124
45	104	122
46	108	122
47	111	121
48	114	119
49	116	116
50	120	115
51	124	114
52	127	112
53	129	110
54	132	108
55	134	105
56	139	105
57	142	103
58	145	100
59	147	98
60	150	95
61	153	94
62	157	92
63	160	90
64	163	87
65	166	85
66	170	84
67	173	81
68	175	78
69	178	76
70	183	75
71	187	73
72	190	70
73	192	67
74	195	65
75	199	62
76	202	60
77	204	57
78	207	55
79	209	52
80	213	49
81	216	47
82	219	44
83	221	42
84	224	39
85	225	36
86	229	34
87	232	31
88	235	29
89	237	26
90	240	23
91	245	21
92	248	18
93	250	16
94	253	13
95	255	10
96	259	8
97	262	5
98	264	2
99	266	0
